0x80    <CONTROL>
0xde  Þ  LATIN CAPITAL LETTER THORN
0xdf  ß  LATIN SMALL LETTER SHARP S
0xe0  à  LATIN SMALL LETTER A WITH GRAVE
0xe1  á  LATIN SMALL LETTER A WITH ACUTE
0xe2  â  LATIN SMALL LETTER A WITH CIRCUMFLEX
0xe3  ã  LATIN SMALL LETTER A WITH TILDE
0xe4  ä  LATIN SMALL LETTER A WITH DIAERESIS
0xe5  å  LATIN SMALL LETTER A WITH RING ABOVE
0xe6  æ  LATIN SMALL LETTER AE
0xe7  ç  LATIN SMALL LETTER C WITH CEDILLA
0xe8  è  LATIN SMALL LETTER E WITH GRAVE
0xe9  é  LATIN SMALL LETTER E WITH ACUTE
0xea  ê  LATIN SMALL LETTER E WITH CIRCUMFLEX
0xeb  ë  LATIN SMALL LETTER E WITH DIAERESIS
0xec  ì  LATIN SMALL LETTER I WITH GRAVE
0xed  í  LATIN SMALL LETTER I WITH ACUTE
0xee  î  LATIN SMALL LETTER I WITH CIRCUMFLEX
0xef  ï  LATIN SMALL LETTER I WITH DIAERESIS
0xf0  ð  LATIN SMALL LETTER ETH
0xf1  ñ  LATIN SMALL LETTER N WITH TILDE
0xf2  ò  LATIN SMALL LETTER O WITH GRAVE
0xf3  ó  LATIN SMALL LETTER O WITH ACUTE
0xf4  ô  LATIN SMALL LETTER O WITH CIRCUMFLEX
0xf5  õ  LATIN SMALL LETTER O WITH TILDE
0xf6  ö  LATIN SMALL LETTER O WITH DIAERESIS
0xf7  ÷  DIVISION SIGN
0xf8  ø  LATIN SMALL LETTER O WITH STROKE
0xf9  ù  LATIN SMALL LETTER U WITH GRAVE
0xfa  ú  LATIN SMALL LETTER U WITH ACUTE
0xfb  û  LATIN SMALL LETTER U WITH CIRCUMFLEX
0xfc  ü  LATIN SMALL LETTER U WITH DIAERESIS
0xfd  ý  LATIN SMALL LETTER Y WITH ACUTE
0xfe  þ  LATIN SMALL LETTER THORN
0xff  ÿ  LATIN SMALL LETTER Y WITH DIAERESIS
